Date,granoer_hammer,guben_2,guben_sprucke
2010-03-27,0.2403,38.59137931034483,0.2457
2010-03-28,0.225225,38.62413793103448,0.2626
2010-03-29,0.22415000000000002,38.65689655172414,0.26149999999999995
2010-03-30,0.22307500000000002,38.689655172413794,0.26039999999999996
2010-03-31,0.222,38.72241379310345,0.2593
2010-04-01,0.2185,38.755172413793105,0.2582
2010-04-02,0.208,38.78793103448276,0.22810000000000002
2010-04-03,0.208,38.820689655172416,0.227
2010-04-04,0.208,30.40344827586207,0.22664285714285715
2010-04-05,0.208,30.436206896551724,0.2262857142857143
2010-04-06,0.208,30.46896551724138,0.22592857142857142
2010-04-07,0.208,30.501724137931035,0.2230714285714286
2010-04-08,0.208,30.53448275862069,0.2227142857142857
2010-04-09,0.208,30.567241379310346,0.22235714285714286
2010-04-10,0.208,30.6,0.222
2010-04-11,0.208,30.1,0.22325
2010-04-12,0.208,29.833333333333336,0.23199999999999998
2010-04-13,0.208,27.866666666666667,0.23324999999999999
2010-04-14,0.208,27.6,0.2345
2010-04-15,0.208,27.333333333333336,0.23575
2010-04-16,0.208,27.066666666666666,0.237
2010-04-17,0.208,26.8,0.228
2010-04-18,0.208,26.53333333333333,0.22485714285714287
2010-04-19,0.208,26.266666666666666,0.22171428571428572
2010-04-20,0.208,26.0,0.21857142857142858
2010-04-21,0.208,25.733333333333334,0.21542857142857144
2010-04-22,0.208,22.366666666666667,0.2247857142857143
2010-04-23,0.208,22.1,0.22164285714285714
2010-04-24,0.208,21.833333333333336,0.2185
2010-04-25,0.208,21.566666666666666,0.21535714285714286
2010-04-26,0.208,21.3,0.21221428571428572
2010-04-27,0.208,20.9,0.15257142857142858
2010-04-28,0.20939999999999998,20.65,0.14942857142857144
2010-04-29,0.2108,20.5,0.1462857142857143
2010-04-30,0.2122,20.233333333333334,0.14314285714285716
2010-05-01,0.2136,19.166666666666664,0.14
2010-05-02,0.222,18.9,0.14
2010-05-03,0.2227777777777778,19.038461538461537,0.14036363636363636
2010-05-04,0.22355555555555556,19.176923076923075,0.14072727272727276
